###########################################################
# Symbols for group column                                #
# -   : not used (non-SS/3L)                              #
# *** : not used (SS/3L, but missing reco)                #
# ??? : not used (SS/3L, but using different sample set)  #
#                                                         #
# Symbols for SUSYTools K-factor column                   #
# -   : not available                                     #
# +++ : agrees with value in K-factor column              #
###########################################################

# DSID  short name              group           N_events    lumi (fb^-1)    AMIXsec (pb)    BR      FiltEff     K-factor    Higher-order xsec (pb)  SUSYTools K-factor

### dibosons
361091  WplvWmqq_nom            -               2000000     80.37           24.885          1.0     1.0         0.91        -                       +++
363000  WplvWmqq_fac4           -               2000000     79.29           25.224          1.0     1.0         0.91        22.95384                -
363001  WplvWmqq_fac025         -               2000000     81.74           24.469          1.0     1.0         0.91        22.26679                -
363002  WplvWmqq_renorm4        -               2000000     89.02           22.466          1.0     1.0         0.91        20.44406                -
363003  WplvWmqq_renorm025      -               2000000     70.08           28.538          1.0     1.0         0.91        25.96958                -
363004  WplvWmqq_qsf4           -               2000000     82.06           24.372          1.0     1.0         0.91        22.17852                -
363005  WplvWmqq_qsf025         -               2000000     79.96           25.014          1.0     1.0         0.91        22.76274                -

361092  WpqqWmlv_nom            -               2000000     80.46           24.857          1.0     1.0         0.91        -                       +++
363006  WpqqWmlv_fac4           -               2000000     79.31           25.219          1.0     1.0         0.91        22.94929                -
363007  WpqqWmlv_fac025         -               2000000     81.73           24.471          1.0     1.0         0.91        22.26861                -
363008  WpqqWmlv_renorm4        -               2000000     88.82           22.517          1.0     1.0         0.91        20.49047                -
363009  WpqqWmlv_renorm025      -               2000000     70.18           28.5            1.0     1.0         0.91        25.935                  -
363010  WpqqWmlv_qsf4           -               2000000     81.95           24.406          1.0     1.0         0.91        22.20946                -
363011  WpqqWmlv_qsf025         -               2000000     79.81           25.059          1.0     1.0         0.91        22.80369                -

361093  WlvZqq_nom              -               2000000     174.00          11.494          1.0     1.0         0.91        -                       +++
363012  WlvZqq_fac4             -               2000000     171.91          11.634          1.0     1.0         0.91        10.58694                -
363013  WlvZqq_fac025           -               2000000     176.16          11.353          1.0     1.0         0.91        10.33123                -
363014  WlvZqq_renorm4          -               2000000     196.29          10.189          1.0     1.0         0.91        9.27199                 -
363015  WlvZqq_renorm025        -               2000000     148.74          13.446          1.0     1.0         0.91        12.23586                -
363016  WlvZqq_qsf4             -               2000000     177.54          11.265          1.0     1.0         0.91        10.25115                -
363017  WlvZqq_qsf025           -               2000000     172.13          11.619          1.0     1.0         0.91        10.57329                -


363018  WqqZll_fac4             ***             500000      144.2           3.4675          1.0     1.0         0.91        3.155425                -
363019  WqqZll_fac025           ***             500000      147.71          3.385           1.0     1.0         0.91        3.08035                 -
363020  WqqZll_renorm4          ***             500000      164.47          3.04            1.0     1.0         0.91        2.7664                  -
363021  WqqZll_renorm025        ***             500000      124.63          4.012           1.0     1.0         0.91        3.65092                 -
363022  WqqZll_qsf4             ***             500000      148.74          3.3616          1.0     1.0         0.91        3.059056                -
363023  WqqZll_qsf025           ***             500000      144.35          3.4638          1.0     1.0         0.91        3.152058                -

361095  WqqZvv_nom              -               1000000     147.56          6.777           1.0     1.0         0.91        -                       +++
363024  WqqZvv_fac4             -               1000000     146.11          6.8443          1.0     1.0         0.91        6.228313                -
363025  WqqZvv_fac025           -               1000000     149.41          6.6928          1.0     1.0         0.91        6.090448                -
363026  WqqZvv_renorm4          -               1000000     166.89          5.9918          1.0     1.0         0.91        5.452538                -
363027  WqqZvv_renorm025        -               1000000     126.09          7.9306          1.0     1.0         0.91        7.216846                -
363028  WqqZvv_qsf4             -               1000000     150.3           6.6533          1.0     1.0         0.91        6.054503                -
363029  WqqZvv_qsf025           -               1000000     146.15          6.8423          1.0     1.0         0.91        6.226493                -

361096  ZqqZll_nom              ***             500000      212.514         16.445          1.0     0.14307     0.91        -                       +++
363030  ZqqZll_fac4             ***             500000      209.6           16.662          1.0     0.14317     0.91        2.170803671             -
363031  ZqqZll_fac025           ***             500000      215.87          16.135          1.0     0.14355     0.91        2.107723118             -
363032  ZqqZll_renorm4          ***             500000      228.13          15.331          1.0     0.14296     0.91        1.994464982             -
363033  ZqqZll_renorm025        ***             500000      195.67          17.843          1.0     0.14321     0.91        2.325319387             -
363034  ZqqZll_qsf4             ***             500000      216.76          16.071          1.0     0.14353     0.91        2.099070273             -
363035  ZqqZll_qsf025           ***             500000      206.96          16.858          1.0     0.14331     0.91        2.198487182             -

361097  ZqqZvv_nom              -               500000      107.875         16.432          1.0     0.28207     1.0         -                       0.91
363036  ZqqZvv_fac4             -               500000      106.23          16.691          1.0     0.28199     1.0         4.70669509              -
363037  ZqqZvv_fac025           -               500000      100.8           16.11           1.0     0.3079      1.0         4.960269                -
363038  ZqqZvv_renorm4          -               500000      115.54          15.344          1.0     0.28203     1.0         4.32746832              -
363039  ZqqZvv_renorm025        -               500000      99.2            17.865          1.0     0.28213     1.0         5.04025245              -
363040  ZqqZvv_qsf4             -               500000      110.58          16.033          1.0     0.28203     1.0         4.52178699              -
363041  ZqqZvv_qsf025           -               500000      105.4           16.864          1.0     0.2813      1.0         4.7438432               -

361063  llll_reco               ZZ_reco         -           3.209      -               -       -           -           -                       -
361063  llll_nom                ZZ_nom          17993500    1400.38         12.849          1.0     1.0         1.0         12.849                  +++
363042  llll_fac4               ZZ_fac4         2499800     207.88          12.025          1.0     1.0         1.0         12.025                  -
363043  llll_fac025             ZZ_fac025       2500000     191.1           13.082          1.0     1.0         1.0         13.082                  -
363044  llll_renorm4            ZZ_renorm4      2499800     197.71          12.644          1.0     1.0         1.0         12.644                  -
363045  llll_renorm025          ZZ_renorm025    2500000     190.88          13.097          1.0     1.0         1.0         13.097                  -
363046  llll_qsf4               ZZ_qsf4         2498800     191.26          13.065          1.0     1.0         1.0         13.065                  -
